group_type	group_id	n_pairs	significance_asymmetry_n	significance_asymmetry_burden_pct	fdr_supported_heterogeneity_n	fdr_supported_heterogeneity_rate_pct	equivalence_rescue_n	equivalence_rescue_rate_pct	inconclusive_downgrade_n	inconclusive_downgrade_rate_pct	concordant_cross_source_support_n	asymmetric_without_heterogeneity_n	close_construct_pairs_n	close_construct_heterogeneity_n	close_construct_heterogeneity_rate_pct	naive_source_restricted_n	naive_source_restricted_heterogeneity_n	naive_source_restricted_heterogeneity_rate_pct	naive_source_restricted_equivalence_rescue_n	naive_source_restricted_equivalence_rescue_pct	naive_source_restricted_downgrade_n	naive_source_restricted_downgrade_pct
construct_equivalence_tier	close_construct_match	1060	243	22.925	37	3.491	179	16.887	557	52.547	120	167	0	0	0	243	31	12.757	45	18.519	167	68.724
exposure_family	adiposity	106	29	27.358	5	4.717	1	0.943	45	42.453	28	27	106	5	4.717	29	1	3.448	1	3.448	27	93.103
exposure_family	anthropometry	53	20	37.736	0	0	30	56.604	5	9.434	9	9	53	0	0	20	0	0	11	55	9	45
exposure_family	behaviour	265	59	22.264	1	0.377	5	1.887	170	64.151	32	57	265	1	0.377	59	1	1.695	1	1.695	57	96.61
exposure_family	glycemic_diabetes	318	84	26.415	29	9.119	104	32.704	123	38.679	34	28	318	29	9.119	84	27	32.143	29	34.524	28	33.333
exposure_family	kidney_function	212	25	11.792	1	0.472	39	18.396	140	66.038	11	21	212	1	0.472	25	1	4	3	12	21	84
exposure_family	lipids	106	26	24.528	1	0.943	0	0	74	69.811	6	25	106	1	0.943	26	1	3.846	0	0	25	96.154
field_domain	cardiometabolic	260	57	21.923	2	0.769	34	13.077	118	45.385	60	46	260	2	0.769	57	2	3.509	9	15.789	46	80.702
field_domain	digestive_respiratory	300	74	24.667	19	6.333	63	21	159	53	19	40	300	19	6.333	74	16	21.622	18	24.324	40	54.054
field_domain	genitourinary	160	27	16.875	4	2.5	27	16.875	96	60	11	22	160	4	2.5	27	2	7.407	3	11.111	22	81.481
field_domain	immune_inflammatory_musculoskeletal	160	43	26.875	6	3.75	26	16.25	84	52.5	13	31	160	6	3.75	43	5	11.628	7	16.279	31	72.093
field_domain	neurological	40	11	27.5	4	10	5	12.5	20	50	4	7	40	4	10	11	4	36.364	0	0	7	63.636
field_domain	other	80	21	26.25	2	2.5	15	18.75	39	48.75	10	14	80	2	2.5	21	2	9.524	5	23.81	14	66.667
field_domain	sense_organs	60	10	16.667	0	0	9	15	41	68.333	3	7	60	0	0	10	0	0	3	30	7	70
global	calibration_benchmark	1060	243	22.925	37	3.491	179	16.887	557	52.547	120	167	1060	37	3.491	243	31	12.757	45	18.519	167	68.724
trait_id	age_smoking_initiation_gscan	53	11	20.755	0	0	0	0	42	79.245	0	11	53	0	0	11	0	0	0	0	11	100
trait_id	bmi_giant_eur	53	12	22.642	5	9.434	1	1.887	13	24.528	24	10	53	5	9.434	12	1	8.333	1	8.333	10	83.333
trait_id	bun_ckdgen_ea	53	7	13.208	0	0	0	0	43	81.132	3	7	53	0	0	7	0	0	0	0	7	100
trait_id	cigarettes_per_day_gscan	53	21	39.623	1	1.887	4	7.547	24	45.283	5	19	53	1	1.887	21	1	4.762	1	4.762	19	90.476
trait_id	ckd_liability_ckdgen_ea	53	4	7.547	0	0	39	73.585	9	16.981	4	1	53	0	0	4	0	0	3	75	1	25
trait_id	drinks_per_week_gscan	53	8	15.094	0	0	0	0	45	84.906	0	8	53	0	0	8	0	0	0	0	8	100
trait_id	egfr_ckdgen_ea	53	4	7.547	1	1.887	0	0	48	90.566	1	3	53	1	1.887	4	1	25	0	0	3	75
trait_id	fasting_glucose_bmiadj	53	16	30.189	1	1.887	5	9.434	33	62.264	0	14	53	1	1.887	16	1	6.25	1	6.25	14	87.5
trait_id	fasting_insulin_bmiadj	53	12	22.642	2	3.774	0	0	41	77.358	0	10	53	2	3.774	12	2	16.667	0	0	10	83.333
trait_id	hba1c_european	53	7	13.208	5	9.434	0	0	42	79.245	4	2	53	5	9.434	7	5	71.429	0	0	2	28.571
trait_id	hdl_glgc_eur_without_ukb	53	17	32.075	0	0	0	0	34	64.151	2	17	53	0	0	17	0	0	0	0	17	100
trait_id	height_giant_eur	53	20	37.736	0	0	30	56.604	5	9.434	9	9	53	0	0	20	0	0	11	55	9	45
trait_id	ldl_glgc_eur_without_ukb	53	9	16.981	1	1.887	0	0	40	75.472	4	8	53	1	1.887	9	1	11.111	0	0	8	88.889
trait_id	smoking_cessation_gscan	53	5	9.434	0	0	0	0	48	90.566	0	5	53	0	0	5	0	0	0	0	5	100
trait_id	smoking_initiation_gscan	53	14	26.415	0	0	1	1.887	11	20.755	27	14	53	0	0	14	0	0	0	0	14	100
trait_id	t1d_gcst010681	53	20	37.736	3	5.66	39	73.585	0	0	11	0	53	3	5.66	20	3	15	17	85	0	0
trait_id	t2d_eur_bmiadjusted	53	13	24.528	7	13.208	31	58.491	4	7.547	10	1	53	7	13.208	13	6	46.154	6	46.154	1	7.692
trait_id	t2d_eur_bmiunadjusted	53	16	30.189	11	20.755	29	54.717	3	5.66	9	1	53	11	20.755	16	10	62.5	5	31.25	1	6.25
trait_id	uacr_ckdgen_ea	53	10	18.868	0	0	0	0	40	75.472	3	10	53	0	0	10	0	0	0	0	10	100
trait_id	whradj_bmi_giant_eur	53	17	32.075	0	0	0	0	32	60.377	4	17	53	0	0	17	0	0	0	0	17	100
